name_en,name_mr
Ambada Kandari,अंबाड़ा  कंडारी
Asadpur,असदपुर
Balegaon,बळेगाव
Belkheda,बेलखेडा
Bhilona,भिलोना
Bhugaon,भुगाव
Bopapur,बोपापुर
Bordi,बोर्डी
Borgaon Dori,बोरगाव दोरी
Borgaon Peth,बोरगाव पेठ
Chamak Bk.,चमक बु
Chamak Khurd,चमक  खुर्द
Chawsala,चौसाळा
Daryabad,दर्याबाद
Deomali,देवमाळी
Devgaon,देवगाव
Dhamangaon Gadi,धामणगावं गढी
Dhotharkheda,धोतरखेडा
Donoda,दोनोडा
Eklaspur,एकलासपुर
Gaulkheda,गौरखेडा
Ghodegaon,घोड़गाव
Hanwatkheda,हनवतखेडा
Haram,हरम
Hiwra Purna,हिवरा पुर्णा
Isapur,इसापूर
Jawardi,जवर्डी
Jawlapur,जवळापुर
Kakada,काकडा
Kandali,कांडली
Kasampur,कासमपुर
Kavitha Bk.,कविठा बु.
Khairi,खैरी
Khanjamanagar,खांनजमानगर
Khusta Khurd,कुष्टा खुर्द
Kolha,कोल्‍हा
Kothara,कोठारा
Kushta Bk.,कुष्टा बु.
Malhara,मल्हारा
Mhasona
Naigaon,नायगाव
Narayanpur,नारायणपुर
Nimbhari,निंभारी
Nimdari,निमदरी
Nimkund,निमकुंड
Nizampur,निजामपुर
Pandhri,पांढरी
Parsapur,परसापुर
Pathrot,पथ्रोट
Pimpalkhuta,पिंपळखुटा
Ramapur Belaj,रामापुर  बेलज
Ramapur Bk.,रामापुर बु
Rasegaon,रासेगाव
Salepur,सालेपुर
Sawlapur,सावळापुर
Sawli Bk.,सावळी बु
Sawli Datura,सावळी दतुरा
Shahapur Jhahangir,शहापूर  जहांगीर
Sindhi Bk.,शिंदी बु
Tawlar,टवलार
Tuljapur Jahangir,तुळजापूर जहांगीर
Upatkheda,उपातखेडा
Wadgaon Fathepur,वडगाव फत्तेपुर
Wadner Bhujang,वडनेर भुजंग
Waghdoh,वाघडोह
Wasni Bk.,वासनी बु.
Wasni Khurd,वासनी खुर्द
Wazar,वझ्झर
Yelaki,येलकी
Yesurna,येसुर्णा
Yevta,येवता
