name_en,name_mr
Amla,आमला
Anjangaon Bari,अनंजनगाव बारी
Antora,अंतोरा
Bhankhed Bujrug,भानखेडा बुजरुग
Bhankhed Khurd,भानखेडा खुर्द
Bodna,बोडणा
Borgaon,बोरगाव
Brahamwada Govindpur,ब्रामनवाडा गोविंदपुर
Brahmanwada Bhagat,ब्रामनवाडा भगत
Chichkhed,चिचखेड
Dawargaon,डवरगाव
Devara,देवरा
Dewri,देवरी
Dhanora Kokate,धाणोरा कोकाटे
Digargawhan,डीगरगव्हान
Gopalpur,गोपाळपुर
Indala,इंदला
Jalka Shahapur,जळका शहापूर
Kamunja,कामुंजा
Kapustalani,कापुसतळनी
Karajgaon,करजगाव
Kastura Mogra,कसतूरा मोगरा
Kat Amla,काट आमला
Kathora Bk.,कठोरा बु.
Kathora Khurd,कठोरा  खुर्द
Kekatpur,केकतपुर
Kund Sarjapur,कुंड सर्जापुर
Lontek,लोणटेक
Maholi Jh.,माहुली जा.
Malkapur,मलकापूर
Masod,मासोद
Nandgaon Peth,नांदगाव पेठ
Nandura Bk.,नांदुरा बु.
Nandura Lashkarpur,नांदुरा लष्करपूर
Nandura Pingalai,नांदुरा पिंगळाई
Naya Akola,नया अकोला
Pardi,पार्डी
Pimpal Wihir,पिंपळ विहीर
Pimpalkhuta,पिंपळखुटा
Pimpri,पिंपरी
Pohra,पोहरा
Pusda,पुसदा
Rewsa,रेवसा
Rohankheda,रोहनखेडा
Salora Khurd,सालोरा खुर्द
Sawanga,सावंगा
Sawardi,सावर्डी
Shewati Jahangir,शेवति जहांगीर
Shirala,शिराळा
Sukli,सुकळी
Takli Jahangir,टाकळी जहांगीर
Tembha,टेंभा
Udkhed,उदखेड
Vanarsi,वनारसी
Wadgaon Jire,वडगाव जिरे
Wadgaon Mahore,वडगाव माहोरे
Wagholi,वाघोली
Walgaon,वलगाव
Yavli Shahid,यावली शहीद
