name_en,name_mr
Adagaon Khade,अडगाव खडे
Bhandraj,भंडाराज
Borala,बोराला
Chausala,चौसाला
Chincholi Bk,चिंचोळी ब्
Chincholi Khurd,चिंचोळी खुर्ड
Chincholi Shingne,चिंचोळी शिंगने
Dahigaon Khurd,दहिगाव खुर्ड
Dhanegaon,धनेगाव
Eklara,एकलारा
Gavandgaon Bk.,गावंडगाव बू.
Ghodajgaon,घोडजगाव
Hantoda,हंतोडा
Hasnapur Pardi,हासनपूर पार्दी
Hayapur,हयपुर
Hingni,हिंगनी
Hirapur,हिरपुर
Javla Bk.,जवला बु
Jawardi,जवार्डी
Kalgavhan,काळगव्हण
Kamalpur Taroda,कमलपुर तरोडा
Kapustalni,कापुस्थळणी
Karla,कार्ला
Kasbegavhan,कसबेगाव्हण
Khanapur Pandhri,खानापुर  पॅंढरी
Khaspur,खासपुर
Khirala,खिराळा
Khirgavhan,खिरगाव्हण
Khodgaon Husainpur,खोडगाव हुसैइनपुर
Kokarda,कोकरडा
Kotegaon,कोटेगाव
Kumbhargaon Bk.,कुंभरगाव बु.
Lakhad,लाखड
Lakhanwadi,लखानवाडी
Malkapur Bk.,मल्कपूर बु.
Murha Bk.,मुरहा ब.
Nimbhari,निंभरी
Nimkhed Bz.,निँखेड ब्झ.
Pimpalgavhan,पिंपळगाव्हण
Pohi,पोही
Sakhri,साखर
Sategaon,सतेगाव
Shelgaon,शेलगाव
Songaon,सोंगगाव
Takarkheda More,टकरखेडा मोरा
Turkhed,तुर्खेड
Vihigaon Bk.,विहिगाव बु.
Wanoja,वनोजा
Warud Khurd,वरूड खुर्ड
