name_en,name_mr
Alangaon,अळणगाव
Anchalwadi,अंचालवाडी
Ashti,अष्टी
Asra,असरा
Bahadarpur,बहदरपूर
Bailmarkheda,बैलमार्खेडा
Borkhadi Khu.,बोर्खडी खु.
Dadhi,दाढी
Dewri,देवरी
Dhamori,धामोरी
Ganoja Dewi,गाणोजा ड्यूयी
Ganori,गाणोरी
Gaurkheda,गौरखेडा
Hartala,हरताला
Hartoti,हरतोटी
Hatkheda,हात्खेदा
Haturna,हातुरना
Jalka Hirapur,जलका हिरपुर
Jasapur,जसपुर
Kamnapur,कामनपूर
Kanphodi,कन्फोदी
Kawtha Bahade,कावता बहाडे
Khalkhoni,खळखोनी
Khartalegaon,खरतलेगाव
Kholapur,खोलापूर
Kumagad,कुमगड
Kund Khurd,कुंड खुर्ड
Marki,मारकी
Mhaispur,म्हैसपुर
Nanded Khurd,नांदेड खुर्ड
Nimbha,निंभा
Nirul Gangamai,निरुल गंगामाई
Nnawed,नवेद
Parlam,पार्लं
Pohra Purna,पोहरा पूर्णा
Purnanagar,नांदेड खुर्ड
Rama,रामा
Sawur,साऊर
Sayat,सायत
Shiwni Bk.,शिवनी बु
Sonarkheda,सोनरखेडा
Takarkheda Sambhu,तेटखेदा संभू
Uttamsara,उततांसरा
Virshi,विर्शी
Waigaon,वाईगाव
Waki Raipur,वाकी राईपुर
Wantoda,वांतोडा
Wathoda Shu.,वाठहोडा शु.
