name_en,name_mr
Akhatwada,अाखतवाडा
Asegaon,आसेगाव
Belaj,बेलाज
Bellora,बेललोरा
Belmandali,बेळमंदळी
Beskheda,बेसखेडा
Bodad,बोडड
Borala,बोराला
Borgaon Mohona,बोरगाव मोहोना
Brahmanwada Pathak,ब्राम्हाणवादा पाठक
Brahmanwada Thadi,ब्राम्हाणवादा ताडी
Chincholi Kale,चिंचोळी काळे
Dahigaon Purna,दहिगाव पूर्णा
Deurwada,देुर्वडा
Dhanora,धणोरा
Fubhgaon,फुभगाव
Ghatladki,घाट लाडकी
Govindpur,गोविंदपुर
Haidatpur,हैदतपुर
Hirul Purna,हिरुळ पूर्णा
Jainpur,जैनपुर
Jalnapur,जालनपुर
Jasapur,जसपुर
Jawla Shahapur,जवला शहापूर
Kajali,काजली
Kallodi,कळलओडी
Karajgaon,करजगाओन
Karanja Bahiram,करंजा बाहिराम
Kharala,खराला
Kharpi,खरपी
Kharwadi,खारवाडी
Kondwardha,कोँद्वरधा
Krishnapur,क्रीष्णापूर
Kural Purna,कुरल पूर्णा
Kurankhed,कुरणखेड
Kurha,कुऱ्हा
Lakhanwadi,लखानवाडी
Madhan,मधान
Masod,मासोड
Mirzapur,मिरझपुर
Nanori,नानोरी
Nimbhora,निंभोरा
Nimkhed,निँखेड
Pimpri Thugaon,पिंपरी तूगाव
Rajna Purna,राजना पूर्णा
Rajura,राजुरा
Rasullapur,रसूललपूर
Ratanpur,रतानपुर
Redwa,रेदवा
Sarfabad,सरफाबद
Sarfapur,सर्फापुर
Shirajgaon Band,शिरजगाव   बंद
Shirajgaon Kasba,शिरजगाव   कसबा
Sonori,सोनोरी
Surali,सुराली
Takarkheda Purna,टॅकारखेडा पूर्णा
Talegaon Mohona,तलेगाव मोहणा
Talnipurna,टळणीपूर्णा
Talwel,टळवेल
Thugaon Pimpri,तूगाव पिंपरी
Tondgaon,तोंडगाव
Tuljapur Gadhi,तुळजापूर गढी
Virulpurna,विरुलपूर्णा
Visroli,विसरोळी
Wadura,वदुरा
Wani,वाणी
Wathonda,वाथोनडा
