name_en,name_mr
Amla Vi.,आमला वि.
Bagapur,बागापुर
Baggi,बग्‍गी
Baslapur,बासलापुर
Bhiltek,भीलटेक
Bori,बोरी
Chandur Wadi,चांदुरवाडी
Chirodi,चिरोडी
Dahigaon,दहिगाव
Dhanodi,धनोडी
Dhanora Mhali,धानोरा म्हाली
Dhanora Moghal,धानोरा मोगल
Dhotra,धोत्रा
Dighi Kolhe,दिघी कोल्हे
Ghuikhed,घुईखेड
Jalka Jagtap,जळका जगताप
Jawla,जवळा
Jawra,जावरा
Kalamjapur,कळमजापुर
Karala,कारला
Kawtha Kadu,कवठा कडु
Kirjawla,किरजवळा
Kohala,कोहळा
Kalamgaon,कळमगांव
Lalkhed,लालखेड
Malkhed,मालखेड
Mandwa,मांडवा
Manjarkhed Danapur,मांजरखेड दानापुर
Manjarkhed Kasba,मांजरखेड कसबा
Nimbha,निंभा
Nimgavhan,निमगव्‍हाण
Palaskhed,पळसखेड
Pathargaon,पाथरगांव
Rajna,राजना
Rajura,राजुरा
Satefal,सातेफळ
Sawanga Bu,सावंगा बु
Sawanga Vithoba,सावंगा विठोबा
Sawangi Magrapur,सावंगी मग्रापुर
Sawangi Sangam,सावंगी संगम
Shirajgaon Korde,शिरजगाव कोरडे
Songaon,सोनगाव
Sonora Bu.,सोनोरा बु
Supalwada,सुपलवाडा
Tembhurni,टेंभूर्णी
Titwa,टिटवा
Tonglabad,टोंगलाबाद
Wai Both,वाई बोथ
Yerad,येरड
