name_en,name_mr
Aaki,आकी
Adhav,आढाव
Adnadi,आडनदी
Ambapati,अंबापाटी
Amzari,आमझरी
Awagad,अवागड
Badnapur,बादनपुर
Baglinga,बगलिंगा
Bamadehi,बामादेही
Barugavhan,बारुगव्हान
Bhulori,भूलोरी
Biba,बिबा
Borala,बोराळा
Chichkheda,चिचखेडा
Chikhali,चिखली
Churni,चूरणी
Dahendri,दहेंद्री
Dharmdoh,धरमडोह
Doma,डोमा
Ektai,एकताई
Gadgabhandum,गडगाभांडूम
Gangarkheda,गांगरखेडा
Gaulkheda Bazar,गौलखेडा बाजार
Hatru,हतरु
Jamli,जामली  राजस्व
Jamli Wan,जमली वन
Kajaldoh,काजलडोह
Kakadari,काकादारी
Katkhumbh,काटकुंभ
Khadimal,खडीमल
Khatkali,खटकाली
Khirpani,खिरपाणी
Kohana,कोहाना
Korda,कोरडा
Koylari,कोयलारी
Kulangana Khurd,कुलंगणा खुर्द
Makhla,माखला
Mehariyam,मेहरीयंम
Morgad,मोरगड
Motha,मोथा
Nagapur,नागापूर
Rahu,राहू
Raipur,रायपुर
Ruipathar,रुईपठार
Salona,सलोना
Semadoh,सेमाडोह
Shahapur,शाहापूर
Somthana Khu.,सोमठाना खू
Somwar Kheda,सोमवार खेडा
Sonapur,सोनापुर
Tarubandha,तारुबंधा
Telkhar,तेलखार
Tembrusonda,टेंब्रुसोंडा
Wastapur,वस्तापुर
