name_en,name_mr
Adula Bazar,आडुळा  बझार
Amla,अम्ला
Arala,आरला
Belora,बोराला
Bembla Bk.,बेंबला बु
Bhamod,भामोड
Borala,बोराला
Chandikapur,चंदिकापुर
Chandola,चांदोळा
Chandrapur,चन्द्रपूर
Darapur,दरापुर
Dhamodi,धामोडी
Dongargaon,डोंगरगाव
Gaurkheda,गौरखेडा
Gaywadi,गायवाडी
Ghada,घडा
Ghodchandi,घोडचंदी
Golegaon,गोलेगाव
Hingani Mirzapur,हिंगणी मिरझपुर
Itki,इतकी
Jainpur,जैइनपुर
Jasapur,जसपुर
Kalamgvhan,कलमग्व्हन
Kalashi,काळाशी
Kanholi,कनहोळी
Karatkheda,कारटखेदा
Khairi,खारी
Khallar,खाल्लार
Kolambi,कोलंबी
Lasur,लसुर
Lehgaon,लेहगाव
Lotwada,लोतवडा
Mahimapur,महीमपुर
Mahuli Dhande,माहुली धानडे
Markanda,मार्कॅंडा
Matargaon,माटारगाव
Mhaispur Mocharda,म्हैसपुर  मोचरदा
Nachona,नाचोना
Naigaon,नाईगाव
Nalwada,नालवादा
Nanded Bk.,नांदेड बु
Nandrun,नंदरुन
Nardoda,नर्डोदा
Narshingpur,नर्षिंगपूर
Panora,पाणॉरा
Petha Itbarpur,पेठा इतबारपुर
Pimpalkhuta,पिंपालखुता
Pimplod,पिंप्लॉड
Ramgaon,रामगाव
Ramtirth,रामतीर्थ
Rustampur,रुस्टामपुर
Samda,सांडा
Sangawa Bk,सांगावा बु
Sanglood,संगलूड
Sasan Bk.,ससन बु
Sasan Ramapur,ससन रामपुर
Shinganwadi,शिंगणवाडी
Shingnapur,शिंगणापूर
Shirajda,शिरजडा
Shivar Bk.,शिवर बु.
Sukli,सुकळी
Takli,टाकली
Telkheda,तेल्खेडा
Thilori,तिलोरी
Tonglabad,तोंगलाबद
Umri Itbarpur,उमरी इतबारपुर
Umri Mamadabad,उमरी मामदाबाद
Uprai,उपराई
Wadhal Gavhan,वाढल गव्हण
Wadner Gangai,वाडणेर् गंगाई
Wadura,वदुरा
Warud Bk.,वरूड बु
Yearndgaon,येरंडगाव
Yeoda,ऐओदा
