name_en,name_mr
Ajangaon,आजनगाव
Anjansingi,अंजनसिंगी
Anjanwati,अंजनवती
Asegaon,आसेगाव
Ashok Nagar,अशोक नगर
Astha,आष्टा
Bhatkuli,भातकुली
Boravghal,बोरवाघळ
Borgaon Dhande,बोरगाव धांदे
Borgaon Nisthane,बोरगाव निस्ताने
Chincholi,चिंचोली
Chinchpur,चिंचपुर
Dabhada,दाभाडा
Devgaon,देवगाव
Dhakulgaon,ढाकूलगाव
Dighi Mahalle,दिघी महल्ले
Gawha Farkade,गव्हा फरकाडे
Gawha Nipani,गव्हा निपाणी
Ghusali,घुसली
Giroli,गिरोली
Gokulsara,गोकुळसरा
Gunji,गुंजी
Hinghangaon,हिंगनगाव
Hirpur,हिरपूर
Jalgaon,जळगाव
Jalgaon Arvi,जळगाव आर्वी
Jalka Patache,जळका पटाचे
Juna Dhamangaon,जुना धामनगाव
Kalashi,कळाशी
Kasarkheda,कासारखेडा
Kashikhed,काशिखेड
Kawli,कावली
Malatpur,मलातपुर
Mangrul Dastagir,मंगरूळ दस्तगीर
Naigaon,नायगाव
Nargawandi,नारगावंडी
Nimbholi,निम्बोली
Nimbhora Bodkha,निम्बोरा बोडखा
Nimbhora Raj,निम्बोरा राज
Peth Raghunathpur,पेठ रघुनाथपूर
Pimpalkhuta,पिंपळखुटा
Raipur Kasarkhed,रायपुर कासारखेडा
Sawla,सावळा
Shendurjana Khurd,शेंदुर्जना खुर्द
Shindoli,शिदोडी
Sonegaon Kharda,सोनेगाव खर्डा
Talegaon Dashashar,तळेगाव दशासर
Talni,तळणी
Taroda,तरोडा
Tiwra,तीवरा
Usalgavhan,उसळगव्हान
Vitala,विटाळा
Wadgaon Rajdi,वडगाव राजदी
Wadhona,वाढोणा
Wagholi,वाघोली
Waknath,वकनाथ
Warud Bagaji,वरुड बगाजी
Wasad,वसाड
Wathoda Bk.,वाठोडा बु.
Wirul Ronghe,विरूळ रोंघे
Zada,झाडा
Zadgaon,झाडगाव
