name_en,name_mr
Bairagad,बैरागाड
Berda Barda,बेर्डा बारडा
Bhokharbardi,भोखरबर्डी
Bhondilawa,भोंडिलावा
Bibamal,बिबमळ
Biju Dhawdi,बिजू धावदी
Biruti,बिरूती
Bobdo,बोबदो
Chakarda,चकारडा
Chatwa Bod,चतवा बॉड
Chaura Kund,शॉरा कुंड
Chendo,चेंदो
Chinchghat,चिंचघाट
Dabhida,दभिदा
Dabka,डबका
Dadra,दादरा
Dharanmahu,धरंमहू
Dhulghat,g) (धूळघाट (ग)
Dhulghat Rly.,धूळघाट र्ल्य.
Diya,दिया
Duni,दूनी
Ghuti,घुटी
Golai,गोलाई
Gondwadi,गोंड्वाडी
Hardoli,हार्डोळी
Harisal,हॅरीसल
Hira Bambai,हिरा बाँबाई
Jamapani,जमपणी
Jambu,जम्बू
Kakarmal,ककरमाल
Kalamkhar,कलमखर
Karda,करडा
Katkhumbh,कटखुंभ
Khaparkheda,खपरखेडा
Kharya Tembhru,खर्या टेंभरू
Kusumkhot Bk.,कुसुंखोत बु
Kutanga,कुटंगा
Malur,माळूर
Mandwa,मांडवा
Mangiya,मांगीया
Mogarda,मोगरडा
Nadori,नडोरी
Nagzira,नागझिरा
Pankhalya,पंखाल्या
Rajpur,राजपुर
Rangubeli,रंगुबेली
Rani Tamboli,राणी तांबोळी
Ranigaon,रनिगओन
Ranipisa,राणीपिसा
Ratnapur,रत्नापुर
Rehtya,रेहत्या
Sadrawadi,सदरवादी
Salai,सालाई
Sawali Kheda,सावली खेडा
Sirpur,सिरपुर
Susarda,सुसरडा
Tatra,टॅट्रा
Tembhli,टेंभली
Tingrya,टिंगर्या
Titamba,टिथामबा
Zapal,झपल
Zilpi,झिलपी
