name_en,name_mr
Adgaon,अडगाव
Akhatwada,अखतवडा
Ambada,अंबाडा
Asthagaon,अशतागाव
Astholi,अष्तोली
Barhanpur,बारहानपुर
Belona,बेलोना
Bhai Pur,भाईपुर
Bhambora,भांबोरा
Bhilapur,भिळपुर
Brahmanwada,ब्राम्हाणवादा
Chikhal Sawangi,चिखल सवनगी
Chincholi Gawli,चिंचोळी गवळी
Dabheri,दाभेरी
Dapori,दापोरी
Dhamangaon,धमनगाव
Dhanora,धणोरा
Domak,डॉमक
Durgwada,दुरग्वाडा
Ganeshpur,गणेशपूर
Ghodgavhan,घोदगव्हण
Gorala,गोराला
Hiwarkhed,हिवर्खेड
Katpur,काटपुर
Katsur,कात्सूर
Kawthal,कावताल
Khanapur,खानापुर
Khed,खेड
Khopda,खोपदा
Kolvir,कॉल्वीर
Ladki Bk.,लाडकी बु
Lehegaon,ळेहेगाव
Lihida,लिहिडा
Mangrul,मंगरुल
Manimpur,मानिंपुर
Maywadi,मैईवडी
Nashirpur,नशीरपूर
Naya Vathoda,नया वाठहोडा
Ner Pinglai,नर  पिंग्ला
Nimbhi,निंभी
Pala,पाला
Pardi,पार्दी
Patur,पातुर
Pimpalkhuta Lahan,पिंपालखुता लहान
Pimpulkhuta Motha,पिंपालखुता मोठा
Porgavhan,पोरगाव्हण
Rajurwadi,रजुरवडी
Ridhapur,रढपुर
Rohankheda,रोहनकेडा
Sawarkheda,सावर्खेडा
Shirajgaon,शिराजगाव
Shirkhed,शिर्खेड
Shirlas,शिर्लास
Shirur,शिरूर
Simbhora,सींभोरा
Talegaon,तलेगाव
Talni,टाळणी
Taroda,तरोडा
Umarkhed,उमारखेड
Utkhed,उडखेड
Varha,वारहा
Vichori,विचोरी
Vishnora,विष्णोरा
Wagholi,वाघोली
Yavli,यावली
Yerla,एरला
Yevti,एवटी
