name_en,name_mr
Adgaon Bk.,अडगाव बु
Bellora Dhamak,बेललोरा धमक
Bellora Hirapur,बेललोरा हिरपुर
Bhagura,भगूरा
Chikli Vaidya,चिकली वैद्या
Dabha,दाभा
Dahigaon,दहिगाव
Dhamak,धमक
Dhanora Fasi,धणोरा फसी
Dhanora Gurav,धणोरा गुरव
Dhanora Shikra,धणोरा शिक्रा
Dhawalsari,धवल्सरी
Eradgaon,एरंडगाव
Fubhgaon,फुभगाव
Ful Amla,फूल अम्ला
Hiwra Bk.,हिवारा बु
Jalu,जळू
Jamgaon,जमगाव
Januna,जाणूना
Jawra,जवारा
Kani Mirzapur,कानी मिरझपुर
Kanzra,कांझरा
Kazana,कझना
Khanapur,खानापुर
Khandala Khurd,खंडाळा खुर्ड
Khed Pimpri,खेड पिंपरी
Khirsana,खिरसना
Kodori,कोडोरी
Kohla Jateshwar,कोहला जटेश्वर
Kothoda,कोथोडा
Lohgaon,लोहगाव
Loni,लोणी
Mahsla,म्हासला
Mahuli Chor,महुली चोर
Mangrul Chawhala,मंगरुल चव्हाला
Mokhad,मोखहड
Nandsawangi,नंदसवनगी
Pahur,पाहूर
Pala,पाला
Palas Mandal,पलस मंडळ
Papad,पापड
Pimpalgaon Bainai,पिंपळगाव बाइनैई
Pimpalgaon Nipani,पिंपळगाव निपाणी
Pimpri Gawanda,पिंपरी गावंडा
Pimpri Nipani,पिंपरी निपाणी
Pusner,पुसणेर
Rohana,रोहणा
Sakhra,साखरा
Salod,सलोद
Sarsi,सर्सी
Satargaon,साटारगाव
Sawner,सवणेर
Shelu Gund,शेळू गुंड
Shelu Natwa,शेळू नटवा
Shiwni Rasulpur,शिवनी रसुलगाव
Shiwra,शिवरा
Sidhanathpur,सिद्धानथपुर
Sirpur,सिरपुर
Sultanpur,सुलतानपुर
Takli Bk.,टाकली ब्के.
Wadala,वादाला
Wadhona Ramnath,वाढोणा रामनाथ
Wadura,वदुरा
Waghoda,वघोडा
Watpur,वाटपुर
Weni Ganeshpur,वेणी गणेशपूर
Yenas,एनस
Yevti,एवती
