name_en,name_mr
Aloda,अलोडा
Amadapur,अमादपूर
Amner,आंनेर
Babhulkheda,बाभूळखेडा
Bahada,बाहादा
Bargaon,बरगाव
Belora,बेलोरा
Benoda,बेनोडा
Beskheda,बेसखेडा
Chandas,छंदास
Chinchargavhan,चिंचर्गव्हण
Davargaon,दावरगाव
Deutwada,डेऊटवडा
Dhaga,ढागा
Dhanodi,धनोदी
Ekdara,एकदरा
Gadegaon,गडेगाव
Gavhankund,गव्हांनकुंड
Ghorad,घोराड
Goregaon,गोरेगाव
Haturna,हातुरना
Isambri,इसामब्री
Isapur,इसापूर
Ittamgaon,इत्तांगाव
Jamgaon Khadka,जंगाव खडका
Jamgaon Mahendri,जंगाव महेंद्री
Jamthi Ganeshpur,जंती गणेशपूर
Jarud,जरूड
Kachurna,कचूरणा
Karajgaon,करजगाव
Kati,कटी
Khadka,खडका
Kurali,कुरली
Linga,लिंगा
Loni,लोणी
Malkhed,मालखेड
Mangaruli,मंगरुली
Morchund,मोर्चुंद
Nandgaon,नांडगाव
Palasona,पालासोना
Palaswada,पलास्वडा
Pawani,पावणी
Peth Mangaruli,पेठ मंगरुली
Pimpalkhuta B.,पिंपालखुता ब
Porgavhan,पोरगाव्हण
Pusla,पुसला
Rajura Bazar,राजुरा बझार
Roshankheda,रोशांखेडा
Satnur,सटणूर
Sawanga,सवंगा
Sawangi,सवनगी
Shahapur,शहापूर
Shingori,शिंगोरी
Surali,सुराली
Tembhurkheda,टेंभूरकेडा
Tiwsa Ghat,तीवसा घाट
Udapur,उदपुर
Urad,उरड
Wadala,वादाला
Wadegaon,वडेगाव
Waghal,वाघळ
Wai Khurd,वाई खुर्द
Wandali,वंदळी
Wathoda,वाठहोडा
Zatamziri,झटमझिरी
Zolamba,झोलंबा
